id,category_id/id,factor,rounding,uom_type,name
init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Ampoule(s)
init.0ace7699-f997-42fd-8e2e-1415d5a07c3b,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Application(s)
init.c2ba3844-98b7-4d3c-b98f-4adfc46658ee,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Gelule(s)
init.144dd787-a13f-437d-b6c7-9a7d4cf3bc56,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Dose(s)
init.2d735487-2f66-412c-a615-2873ddf94dfd,uom.product_uom_categ_unit,20000,0.01,Smaller than the reference Unit of Measure,Goutte(s)
init.8574ffb1-222d-4a11-97c9-7e401c59e2b1,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,IU
init.e6727dc7-967d-4bf6-9caf-af8a4997a62d,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Paquet(s)
init.5fa6126f-dc1a-42d4-bfda-b3b9e2cd3b90,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Bouffee(s)
init.6fa802c9-5ad8-4e0b-9b8b-d80e4d91b21d,uom.product_uom_categ_unit,67.628,0.01,Smaller than the reference Unit of Measure,Cuillere(s) a soupe
init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Comprime(s)
init.e946eb88-c6ce-481a-8f76-a979f684fada,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Ovule(s)
init.89a91a0c-35d4-45b9-a87d-dac77df05c81,uom.product_uom_categ_unit,202.884,0.01,Smaller than the reference Unit of Measure,Cuillere(s) a cafe
init.5de903e6-2a66-4253-891d-86558e1282d2,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Fiole(s)
init.d34c85d0-f1c5-44d1-bfe3-d19d5ec875b1,uom.product_uom_categ_unit,1000000,0.01,Smaller than the reference Unit of Measure,mg
init.22109614-7512-4739-b28a-783354d19aa1,uom.product_uom_categ_unit,1000,0.01,Smaller than the reference Unit of Measure,ml
init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Bouteille(s)
init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Tube(s)
init.1957f9ad-2d7c-4bc3-ac8e-527849c7bd98,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Inhalateur(s)
init.d8e77a4d-0224-413e-adac-0ecf66eb50ce,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Conteneur(s)
init.ffe07e7c-0452-4e59-b326-9d2853b56417,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Unit(s)
init.1fd95743-5a10-4c67-8626-a4fd1a4c620a,uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,Sachet(s)